Respondent_ID,Employment_Status,Highest_Education_Level,Age_Group,Current_City_Residence,Monthly_Household_Income_Range_XAF,Household_Size_Supported,Bulk_Food_Purchase_Frequency,Percentage_Income_To_Food,Reduced_Food_Quality_Quantity,Monthly_Food_Spend_XAF,Estimated_Food_Bill_Increase_Percent,Most_Dramatic_Increased_Food_Item,Monthly_Transport_Spend_XAF,Fuel_Prices_Increased_Transport_Cost,Primary_Transportation_Mode,Paid_Transport_Trips_Per_Week,Estimated_5Yr_Transport_Fare_Increase_Percent,Times_Moved_Due_To_Rent,Frequent_Power_Cuts_Extra_Spend,Percentage_Income_To_Rent,Monthly_Rent_XAF,Monthly_Utilities_Combined_XAF,Rent_Increased_Last_2_Years,Skipped_Medical_Treatment_Cost,Schooling_Cost_Increased_3Yrs,Has_Health_Insurance,Average_Monthly_Healthcare_Spend_XAF,School_Fees_Per_Child_Per_Term_XAF,Highest_Burden_Expenditure_Category,Expect_Cost_Of_Living_Increase_5Yrs,Taken_Coping_Measures,Primary_Contributor_To_Cost_Of_Living,Year_Noticeable_Impact
RESP_0012,Employed part-time,Bachelor's Degree,25-34,Bafoussam,"250,001 - 500,000 XAF",7,Never,Above 60%,No,162778,104,Meat/Fish,77616,Yes,Shared Taxi,11,50,2,Yes,0%,0,17412,Yes,Yes,No,No,32081,600000,Utilities (Water/Electricity),Yes,Yes,Fuel price hikes,2025
RESP_0013,Student,Master's Degree,35-44,Douala,"100,001 - 250,000 XAF",8,Always,41% - 60%,Yes,97826,115,Bread,28675,Yes,Personal Car,7,64,0,Yes,0%,0,34611,No,No,Yes,No,34129,600000,Food,Yes,Yes,Fuel price hikes,2021
RESP_0014,Unemployed,Master's Degree,18-24,Kribi,"Above 1,000,000 XAF",6,Never,Under 20%,Yes,426612,114,Bread,108514,Yes,Personal Car,8,34,2,Yes,38%,288544,32814,No,No,Yes,No,18699,0,Utilities (Water/Electricity),Yes,Yes,Global market crisis / Import costs,2023
RESP_0015,Employed full-time,Bachelor's Degree,45-54,Buea,"100,001 - 250,000 XAF",8,Sometimes,Under 20%,Yes,100819,24,Cooking Oil,28429,Yes,Shared Taxi,5,45,0,Yes,20%,37686,18831,Yes,No,No,No,2906,0,Food,Yes,Yes,Climate change / Poor harvests,2024
RESP_0016,Employed full-time,Bachelor's Degree,45-54,Bamenda,"100,001 - 250,000 XAF",8,Sometimes,Under 20%,Yes,91574,120,Plantains/Cassava,39473,Yes,Shared Taxi,10,25,2,Yes,21%,37806,5033,Yes,No,Yes,No,10832,50000,Food,Yes,Yes,Global market crisis / Import costs,2022
RESP_0017,Employed part-time,Master's Degree,55+,Yaoundé,"Above 1,000,000 XAF",8,Never,41% - 60%,No,436884,63,Meat/Fish,140390,Yes,Personal Car,14,35,0,Yes,42%,319310,13390,No,No,Yes,No,30823,50000,Transportation,Yes,Yes,Global market crisis / Import costs,2023
RESP_0018,Self-employed/Entrepreneur,Primary School,45-54,Kribi,"Under 50,000 XAF",4,Often,Above 60%,Yes,16738,60,Bread,5206,Yes,Personal Car,11,49,2,Yes,29%,11810,25798,Yes,Yes,Yes,No,48046,350000,Food,Yes,Yes,Government taxes,2020
RESP_0019,Retired,Primary School,45-54,Bamenda,"Under 50,000 XAF",7,Always,20% - 40%,Yes,18934,76,Plantains/Cassava,7361,Yes,Bus / Coaster,4,69,1,Yes,20%,8193,31893,No,No,Yes,No,13067,50000,Housing/Rent,Yes,No,Climate change / Poor harvests,2022
RESP_0020,Self-employed/Entrepreneur,PhD / Doctorate,25-34,Yaoundé,"50,000 - 100,000 XAF",1,Sometimes,20% - 40%,No,40990,92,Bread,16262,No,Personal Car,3,44,0,Yes,32%,24737,6152,Yes,Yes,No,No,45529,600000,Transportation,No,No,Global market crisis / Import costs,2021
RESP_0021,Unemployed,Primary School,55+,Maroua,"500,001 - 1,000,000 XAF",6,Often,41% - 60%,Yes,346977,108,Onions/Tomato,124942,Yes,Bus / Coaster,8,25,0,Yes,34%,259952,16599,Yes,No,Yes,Yes,31853,0,Transportation,Yes,Yes,Fuel price hikes,2021
RESP_0022,Self-employed/Entrepreneur,Master's Degree,35-44,Bamenda,"500,001 - 1,000,000 XAF",3,Never,41% - 60%,Yes,440052,107,Plantains/Cassava,128358,Yes,Moto-taxi,4,94,1,Yes,0%,0,27509,No,Yes,Yes,No,7833,50000,Utilities (Water/Electricity),Yes,No,Local currency depreciation,2025
RESP_0023,Retired,Bachelor's Degree,35-44,Douala,"50,000 - 100,000 XAF",5,Rarely,41% - 60%,Yes,43198,44,Meat/Fish,8578,Yes,Moto-taxi,13,92,3+,Yes,0%,0,24311,No,No,Yes,No,40369,0,Utilities (Water/Electricity),Yes,No,Global market crisis / Import costs,2022
RESP_0024,Unemployed,Primary School,35-44,Bafoussam,"Under 50,000 XAF",7,Always,41% - 60%,Yes,21600,58,Rice,8747,Yes,Bus / Coaster,5,81,2,Yes,0%,0,9709,Yes,Yes,Yes,No,9932,25000,Education,Yes,No,Global market crisis / Import costs,2024
RESP_0025,Employed part-time,PhD / Doctorate,35-44,Kribi,"Under 50,000 XAF",7,Sometimes,20% - 40%,Yes,19155,147,Meat/Fish,9299,Yes,Shared Taxi,11,19,0,Yes,43%,17411,23235,No,Yes,Yes,No,34336,150000,Utilities (Water/Electricity),Yes,No,Government taxes,2024
RESP_0026,Employed part-time,Primary School,55+,Bamenda,"500,001 - 1,000,000 XAF",6,Never,41% - 60%,Yes,437388,94,Cooking Oil,116322,Yes,Personal Car,14,76,0,Yes,20%,153737,28246,No,No,Yes,No,41661,25000,Housing/Rent,Yes,No,Global market crisis / Import costs,2020
RESP_0027,Employed full-time,Primary School,25-34,Maroua,"Under 50,000 XAF",1,Sometimes,Under 20%,Yes,13448,79,Cooking Oil,8340,Yes,Personal Car,11,60,2,Yes,0%,0,15791,No,No,Yes,No,43014,0,Education,Yes,Yes,Fuel price hikes,2021
RESP_0028,Student,Primary School,45-54,Yaoundé,"500,001 - 1,000,000 XAF",1,Sometimes,41% - 60%,Yes,285522,137,Cooking Oil,180308,Yes,Shared Taxi,10,23,0,No,30%,228633,19666,No,No,No,No,24743,150000,Education,Yes,No,Global market crisis / Import costs,2022
RESP_0029,Employed part-time,Bachelor's Degree,25-34,Yaoundé,"50,000 - 100,000 XAF",4,Sometimes,Above 60%,Yes,37947,121,Bread,9924,Yes,Personal Car,2,34,3+,Yes,26%,19591,21124,Yes,Yes,Yes,Yes,24637,600000,Transportation,Yes,No,Global market crisis / Import costs,2025
RESP_0030,Student,Primary School,45-54,Maroua,"500,001 - 1,000,000 XAF",8,Never,Under 20%,No,328915,37,Rice,108211,Yes,Shared Taxi,13,22,3+,Yes,30%,230617,8613,Yes,Yes,Yes,No,38248,600000,Healthcare,Yes,No,Fuel price hikes,2020
RESP_0031,Self-employed/Entrepreneur,High School / Baccalauréat,55+,Yaoundé,"50,000 - 100,000 XAF",4,Sometimes,41% - 60%,Yes,22908,70,Plantains/Cassava,7671,Yes,Bus / Coaster,8,37,3+,Yes,35%,26767,30235,Yes,Yes,No,No,22315,50000,Housing/Rent,Yes,Yes,Global market crisis / Import costs,2023
RESP_0032,Retired,Primary School,18-24,Bafoussam,"100,001 - 250,000 XAF",2,Never,20% - 40%,Yes,75417,82,Onions/Tomato,31786,Yes,Personal Car,7,95,3+,Yes,33%,60990,28168,Yes,Yes,Yes,No,45770,150000,Healthcare,No,No,Fuel price hikes,2025
RESP_0033,Unemployed,Primary School,35-44,Maroua,"250,001 - 500,000 XAF",1,Sometimes,Above 60%,Yes,152350,95,Bread,47072,Yes,Personal Car,6,80,2,Yes,41%,144461,21391,No,Yes,Yes,No,4285,50000,Healthcare,Yes,Yes,Government taxes,2025
RESP_0034,Unemployed,Bachelor's Degree,55+,Bafoussam,"250,001 - 500,000 XAF",1,Sometimes,Under 20%,Yes,170953,89,Cooking Oil,45094,Yes,Personal Car,9,46,0,Yes,21%,74297,31048,No,Yes,Yes,No,40283,0,Utilities (Water/Electricity),Yes,Yes,Local currency depreciation,2024
RESP_0035,Student,High School / Baccalauréat,35-44,Maroua,"100,001 - 250,000 XAF",4,Never,Under 20%,No,84448,62,Bread,30770,Yes,Bus / Coaster,14,89,2,Yes,20%,37012,9241,Yes,Yes,Yes,No,2600,0,Housing/Rent,Yes,Yes,Local currency depreciation,2021
RESP_0036,Self-employed/Entrepreneur,High School / Baccalauréat,35-44,Garoua,"Under 50,000 XAF",5,Always,Above 60%,No,20883,86,Meat/Fish,5289,Yes,Shared Taxi,8,45,3+,Yes,0%,0,5647,No,Yes,Yes,Yes,16781,350000,Food,Yes,No,Local currency depreciation,2021
RESP_0037,Employed full-time,Master's Degree,25-34,Maroua,"500,001 - 1,000,000 XAF",3,Always,Above 60%,Yes,241293,112,Meat/Fish,104718,Yes,Moto-taxi,9,61,2,Yes,36%,273108,34252,Yes,Yes,Yes,No,11855,25000,Food,Yes,Yes,Global market crisis / Import costs,2024
RESP_0038,Employed full-time,Primary School,18-24,Buea,"250,001 - 500,000 XAF",5,Often,Above 60%,No,130880,140,Onions/Tomato,83495,Yes,Personal Car,6,40,2,Yes,36%,128270,17134,Yes,Yes,Yes,No,14950,600000,Education,Yes,No,Local currency depreciation,2023
RESP_0039,Unemployed,Master's Degree,35-44,Kribi,"Above 1,000,000 XAF",7,Often,Above 60%,No,439835,75,Cooking Oil,75364,Yes,Personal Car,13,75,0,Yes,43%,328621,18036,No,Yes,Yes,No,22792,0,Housing/Rent,Yes,Yes,Fuel price hikes,2024
RESP_0040,Student,High School / Baccalauréat,25-34,Buea,"250,001 - 500,000 XAF",8,Never,Above 60%,No,144222,68,Onions/Tomato,83575,Yes,Personal Car,13,83,1,Yes,20%,71077,33640,No,Yes,Yes,No,2729,50000,Healthcare,Yes,Yes,Fuel price hikes,2023
RESP_0041,Employed full-time,Primary School,25-34,Maroua,"500,001 - 1,000,000 XAF",3,Sometimes,41% - 60%,Yes,268679,134,Plantains/Cassava,152295,Yes,Bus / Coaster,3,49,0,Yes,36%,272193,24586,No,Yes,Yes,No,39250,25000,Transportation,Yes,No,Climate change / Poor harvests,2020
RESP_0042,Employed full-time,Master's Degree,35-44,Maroua,"50,000 - 100,000 XAF",1,Sometimes,Above 60%,Yes,23057,74,Onions/Tomato,11248,Yes,Bus / Coaster,4,21,3+,Yes,25%,19193,18529,No,Yes,Yes,No,15517,25000,Education,Yes,Yes,Local currency depreciation,2024
RESP_0043,Employed full-time,Secondary School,45-54,Garoua,"500,001 - 1,000,000 XAF",7,Rarely,20% - 40%,No,266804,142,Onions/Tomato,118045,Yes,Personal Car,12,66,3+,Yes,0%,0,21714,Yes,Yes,Yes,No,19097,350000,Healthcare,Yes,No,Local currency depreciation,2021
RESP_0044,Unemployed,Master's Degree,45-54,Bamenda,"250,001 - 500,000 XAF",8,Never,41% - 60%,Yes,113178,52,Onions/Tomato,64660,Yes,Bus / Coaster,14,41,0,Yes,27%,95756,16570,Yes,Yes,No,Yes,28301,0,Education,Yes,Yes,Climate change / Poor harvests,2022
RESP_0045,Retired,Primary School,25-34,Buea,"100,001 - 250,000 XAF",6,Often,Above 60%,Yes,80855,26,Rice,25001,Yes,Shared Taxi,11,31,2,Yes,33%,59920,18585,No,No,Yes,No,2270,50000,Housing/Rent,No,No,Fuel price hikes,2020
RESP_0046,Employed full-time,Bachelor's Degree,55+,Douala,"100,001 - 250,000 XAF",5,Sometimes,41% - 60%,No,66085,143,Cooking Oil,34566,Yes,Moto-taxi,14,92,1,No,32%,58515,33847,No,Yes,Yes,No,17743,0,Housing/Rent,Yes,Yes,Government taxes,2025
RESP_0047,Student,Primary School,18-24,Bafoussam,"250,001 - 500,000 XAF",1,Often,41% - 60%,No,158281,85,Bread,57817,Yes,Shared Taxi,4,57,1,Yes,0%,0,33138,Yes,Yes,Yes,No,4074,350000,Housing/Rent,Yes,No,Government taxes,2024
RESP_0048,Student,PhD / Doctorate,18-24,Bamenda,"Under 50,000 XAF",7,Often,Above 60%,No,21241,129,Cooking Oil,6012,Yes,Personal Car,10,76,2,Yes,44%,17742,8336,Yes,No,No,No,17322,150000,Healthcare,Yes,No,Global market crisis / Import costs,2021
RESP_0049,Employed part-time,PhD / Doctorate,55+,Kribi,"500,001 - 1,000,000 XAF",5,Always,41% - 60%,Yes,394455,148,Plantains/Cassava,175057,No,Moto-taxi,4,66,2,Yes,26%,201641,25909,Yes,No,Yes,No,44120,600000,Housing/Rent,Yes,Yes,Global market crisis / Import costs,2022
RESP_0050,Retired,Secondary School,35-44,Maroua,"250,001 - 500,000 XAF",6,Never,Above 60%,Yes,142425,50,Bread,42288,Yes,Moto-taxi,2,63,2,Yes,0%,0,19632,No,No,Yes,No,24161,350000,Transportation,Yes,No,Climate change / Poor harvests,2021
RESP_0051,Unemployed,Master's Degree,25-34,Kribi,"50,000 - 100,000 XAF",6,Never,Above 60%,Yes,25673,100,Bread,17728,Yes,Shared Taxi,11,45,2,Yes,32%,24507,15757,Yes,Yes,Yes,No,24201,25000,Housing/Rent,Unsure,Yes,Global market crisis / Import costs,2023
RESP_0052,Self-employed/Entrepreneur,Master's Degree,35-44,Kribi,"50,000 - 100,000 XAF",7,Often,20% - 40%,No,27536,69,Cooking Oil,16232,Yes,Shared Taxi,6,37,1,Yes,32%,24550,17695,No,Yes,Yes,No,10824,600000,Housing/Rent,Yes,Yes,Fuel price hikes,2023
RESP_0053,Employed part-time,Secondary School,25-34,Garoua,"250,001 - 500,000 XAF",6,Sometimes,20% - 40%,Yes,134724,80,Onions/Tomato,67754,Yes,Personal Car,10,48,2,Yes,22%,78873,8941,No,Yes,Yes,Yes,17421,350000,Transportation,Yes,Yes,Climate change / Poor harvests,2021
RESP_0054,Unemployed,Master's Degree,55+,Yaoundé,"100,001 - 250,000 XAF",6,Sometimes,41% - 60%,No,77827,29,Cooking Oil,19614,No,Moto-taxi,9,40,1,No,26%,47998,16381,Yes,Yes,No,No,3083,600000,Education,Yes,No,Fuel price hikes,2021
RESP_0055,Self-employed/Entrepreneur,Secondary School,45-54,Bamenda,"100,001 - 250,000 XAF",3,Rarely,Above 60%,Yes,86115,136,Bread,23005,Yes,Moto-taxi,13,68,1,Yes,0%,0,17842,No,Yes,Yes,No,16608,0,Education,No,Yes,Government taxes,2023
RESP_0056,Employed part-time,High School / Baccalauréat,55+,Maroua,"500,001 - 1,000,000 XAF",4,Rarely,20% - 40%,Yes,330404,100,Rice,85575,Yes,Shared Taxi,2,16,0,Yes,44%,330813,11352,No,Yes,Yes,No,17420,600000,Food,Unsure,No,Fuel price hikes,2020
RESP_0057,Self-employed/Entrepreneur,PhD / Doctorate,35-44,Douala,"500,001 - 1,000,000 XAF",4,Sometimes,20% - 40%,Yes,266639,127,Rice,102647,Yes,Moto-taxi,12,87,1,Yes,38%,288688,14661,No,Yes,No,No,33365,0,Food,Yes,No,Fuel price hikes,2024
RESP_0058,Employed part-time,PhD / Doctorate,45-54,Douala,"250,001 - 500,000 XAF",8,Always,41% - 60%,Yes,153662,39,Bread,83487,Yes,Moto-taxi,11,96,3+,Yes,0%,0,17596,No,Yes,No,No,48630,350000,Transportation,Yes,Yes,Climate change / Poor harvests,2021
RESP_0059,Employed full-time,Master's Degree,55+,Buea,"Above 1,000,000 XAF",4,Rarely,20% - 40%,No,345816,80,Meat/Fish,163631,Yes,Shared Taxi,12,21,1,Yes,0%,0,30593,Yes,No,Yes,No,7788,25000,Utilities (Water/Electricity),Yes,Yes,Climate change / Poor harvests,2023
RESP_0060,Self-employed/Entrepreneur,High School / Baccalauréat,25-34,Buea,"50,000 - 100,000 XAF",6,Often,20% - 40%,No,42830,58,Onions/Tomato,16281,Yes,Personal Car,3,88,2,No,43%,32272,17596,Yes,No,No,No,29391,600000,Transportation,Yes,Yes,Global market crisis / Import costs,2025
RESP_0061,Retired,Bachelor's Degree,18-24,Garoua,"100,001 - 250,000 XAF",4,Always,20% - 40%,No,75439,36,Plantains/Cassava,38572,No,Bus / Coaster,13,95,0,Yes,26%,46845,26074,Yes,Yes,Yes,No,32839,0,Education,Yes,Yes,Local currency depreciation,2023
RESP_0062,Employed full-time,Primary School,18-24,Maroua,"Under 50,000 XAF",4,Sometimes,Above 60%,Yes,15979,89,Meat/Fish,7290,Yes,Bus / Coaster,8,73,1,Yes,0%,0,28066,No,No,Yes,Yes,25738,150000,Housing/Rent,Yes,Yes,Global market crisis / Import costs,2021
RESP_0063,Self-employed/Entrepreneur,High School / Baccalauréat,25-34,Bamenda,"50,000 - 100,000 XAF",5,Always,41% - 60%,No,32368,103,Rice,7585,Yes,Shared Taxi,6,51,0,Yes,27%,20777,21503,Yes,Yes,Yes,No,3994,25000,Education,Yes,No,Government taxes,2025
RESP_0064,Unemployed,Bachelor's Degree,18-24,Douala,"Above 1,000,000 XAF",6,Rarely,41% - 60%,Yes,225312,25,Meat/Fish,173383,No,Personal Car,6,28,0,Yes,38%,292202,15217,Yes,Yes,Yes,No,9457,600000,Housing/Rent,Yes,No,Fuel price hikes,2023
RESP_0065,Self-employed/Entrepreneur,Primary School,25-34,Buea,"100,001 - 250,000 XAF",7,Sometimes,Above 60%,Yes,62973,96,Bread,39667,Yes,Bus / Coaster,13,48,0,Yes,35%,64070,30140,No,No,Yes,Yes,41300,0,Housing/Rent,Yes,No,Local currency depreciation,2025
RESP_0066,Unemployed,High School / Baccalauréat,45-54,Douala,"250,001 - 500,000 XAF",4,Rarely,Under 20%,Yes,140865,141,Onions/Tomato,42631,Yes,Personal Car,7,50,3+,Yes,42%,147835,32685,Yes,Yes,Yes,No,25756,350000,Utilities (Water/Electricity),Yes,No,Local currency depreciation,2024
RESP_0067,Student,Secondary School,25-34,Bamenda,"50,000 - 100,000 XAF",3,Never,Above 60%,Yes,29573,28,Bread,16126,Yes,Moto-taxi,10,78,2,Yes,32%,24322,33616,Yes,Yes,Yes,No,43837,150000,Food,Yes,No,Climate change / Poor harvests,2022
RESP_0068,Unemployed,Bachelor's Degree,55+,Douala,"Above 1,000,000 XAF",8,Rarely,20% - 40%,No,367598,21,Bread,86322,Yes,Shared Taxi,4,36,3+,Yes,25%,192858,5677,No,Yes,Yes,No,6464,0,Healthcare,Yes,Yes,Local currency depreciation,2023
RESP_0069,Employed part-time,High School / Baccalauréat,18-24,Kribi,"Under 50,000 XAF",1,Rarely,41% - 60%,No,17641,32,Rice,8969,Yes,Personal Car,6,64,0,Yes,36%,14646,27844,No,Yes,Yes,No,47799,600000,Utilities (Water/Electricity),Yes,No,Local currency depreciation,2020
RESP_0070,Employed full-time,Primary School,25-34,Garoua,"250,001 - 500,000 XAF",6,Rarely,Above 60%,Yes,176310,115,Plantains/Cassava,63480,Yes,Shared Taxi,5,22,1,Yes,29%,103248,6920,Yes,Yes,Yes,No,3645,0,Education,Yes,Yes,Local currency depreciation,2024
RESP_0071,Self-employed/Entrepreneur,Secondary School,55+,Buea,"100,001 - 250,000 XAF",2,Often,41% - 60%,Yes,102472,111,Onions/Tomato,32186,Yes,Moto-taxi,5,72,1,No,33%,59517,26066,Yes,Yes,Yes,No,33248,600000,Food,Yes,No,Government taxes,2021
RESP_0072,Employed part-time,High School / Baccalauréat,45-54,Yaoundé,"500,001 - 1,000,000 XAF",2,Rarely,Under 20%,Yes,325188,140,Plantains/Cassava,119167,Yes,Bus / Coaster,12,60,1,Yes,0%,0,23488,No,No,Yes,No,15213,600000,Housing/Rent,Yes,Yes,Global market crisis / Import costs,2020
RESP_0073,Employed full-time,Primary School,25-34,Yaoundé,"Above 1,000,000 XAF",8,Always,41% - 60%,Yes,437623,87,Cooking Oil,84403,Yes,Personal Car,4,93,3+,Yes,36%,273942,8525,Yes,No,Yes,Yes,28042,25000,Transportation,Yes,No,Fuel price hikes,2020
RESP_0074,Retired,Master's Degree,25-34,Bafoussam,"Under 50,000 XAF",6,Sometimes,41% - 60%,Yes,17924,52,Cooking Oil,9630,Yes,Shared Taxi,4,53,3+,Yes,24%,9790,28447,Yes,Yes,Yes,No,5391,25000,Housing/Rent,Yes,No,Fuel price hikes,2023
RESP_0075,Student,High School / Baccalauréat,25-34,Maroua,"50,000 - 100,000 XAF",3,Never,Under 20%,No,34831,126,Cooking Oil,8412,Yes,Bus / Coaster,3,37,1,Yes,24%,18135,32707,No,No,Yes,No,38424,0,Food,Yes,Yes,Climate change / Poor harvests,2023
RESP_0076,Self-employed/Entrepreneur,Secondary School,25-34,Yaoundé,"Under 50,000 XAF",7,Never,Under 20%,Yes,15629,35,Plantains/Cassava,6428,Yes,Personal Car,12,71,1,Yes,30%,12343,22732,No,No,Yes,No,42062,0,Food,Yes,Yes,Climate change / Poor harvests,2023
RESP_0077,Self-employed/Entrepreneur,High School / Baccalauréat,55+,Douala,"Above 1,000,000 XAF",1,Often,20% - 40%,Yes,360372,142,Bread,154587,Yes,Moto-taxi,2,91,1,Yes,42%,318906,13062,No,Yes,Yes,No,30702,350000,Utilities (Water/Electricity),Yes,No,Local currency depreciation,2025
RESP_0078,Self-employed/Entrepreneur,Bachelor's Degree,18-24,Garoua,"Above 1,000,000 XAF",3,Sometimes,20% - 40%,Yes,266115,121,Plantains/Cassava,185591,No,Moto-taxi,3,57,1,Yes,21%,159417,18196,Yes,Yes,Yes,No,7507,50000,Food,Yes,Yes,Climate change / Poor harvests,2023
RESP_0079,Retired,Master's Degree,35-44,Bamenda,"100,001 - 250,000 XAF",5,Never,Under 20%,Yes,66403,135,Meat/Fish,26475,Yes,Moto-taxi,8,48,3+,Yes,44%,80213,20897,Yes,No,No,No,37416,0,Food,Yes,No,Local currency depreciation,2021
RESP_0080,Employed part-time,Master's Degree,25-34,Maroua,"500,001 - 1,000,000 XAF",7,Always,Under 20%,No,324273,73,Plantains/Cassava,171736,Yes,Moto-taxi,3,98,1,Yes,40%,306385,13447,No,Yes,Yes,No,33626,600000,Transportation,Yes,Yes,Global market crisis / Import costs,2021
RESP_0081,Student,Secondary School,35-44,Bafoussam,"Above 1,000,000 XAF",4,Often,20% - 40%,Yes,364483,109,Meat/Fish,95910,Yes,Moto-taxi,13,80,1,Yes,25%,187674,31149,Yes,Yes,Yes,No,4781,0,Housing/Rent,Yes,No,Climate change / Poor harvests,2021
RESP_0082,Employed full-time,Master's Degree,45-54,Douala,"500,001 - 1,000,000 XAF",5,Never,41% - 60%,Yes,255641,59,Cooking Oil,154045,Yes,Shared Taxi,6,92,0,Yes,0%,0,12065,Yes,Yes,No,No,6228,0,Transportation,Yes,No,Local currency depreciation,2021
RESP_0083,Student,Bachelor's Degree,35-44,Douala,"Above 1,000,000 XAF",2,Never,Under 20%,Yes,322696,37,Cooking Oil,144484,Yes,Moto-taxi,3,96,0,Yes,22%,168295,20609,Yes,No,Yes,No,27404,50000,Healthcare,Yes,Yes,Fuel price hikes,2023
RESP_0084,Student,Master's Degree,18-24,Garoua,"50,000 - 100,000 XAF",7,Often,41% - 60%,Yes,30819,149,Meat/Fish,16901,Yes,Shared Taxi,10,52,2,No,27%,20371,5176,No,No,Yes,No,11140,25000,Food,Unsure,Yes,Climate change / Poor harvests,2021
RESP_0085,Student,PhD / Doctorate,45-54,Garoua,"100,001 - 250,000 XAF",1,Often,Under 20%,Yes,99337,115,Rice,42384,Yes,Shared Taxi,7,28,3+,Yes,0%,0,24579,Yes,Yes,Yes,No,25359,600000,Transportation,Yes,Yes,Climate change / Poor harvests,2021
